"","cnt","w_schgrnrabwt","st004d01t","cntschid","cntstuid","oecd","age","misssc","workpay","immig","bsmj","relatst","learres","famsupsl","hisced","hisei","homepos","ictsch","icthome","ictqual","ictout","ictwkdy","icteffic","ictenq","ictfeed","pv1math","pv2math","pv3math","pv4math","pv5math","pv6math","pv7math","pv8math","pv9math","pv10math","pv1read","pv2read","pv3read","pv4read","pv5read","pv6read","pv7read","pv8read","pv9read","pv10read","pv1scie","pv2scie","pv3scie","pv4scie","pv5scie","pv6scie","pv7scie","pv8scie","pv9scie","pv10scie","w_fsturwt1","w_fsturwt2","w_fsturwt3","w_fsturwt4","w_fsturwt5","w_fsturwt6","w_fsturwt7","w_fsturwt8","w_fsturwt9","w_fsturwt10","w_fsturwt11","w_fsturwt12","w_fsturwt13","w_fsturwt14","w_fsturwt15","w_fsturwt16","w_fsturwt17","w_fsturwt18","w_fsturwt19","w_fsturwt20","w_fsturwt21","w_fsturwt22","w_fsturwt23","w_fsturwt24","w_fsturwt25","w_fsturwt26","w_fsturwt27","w_fsturwt28","w_fsturwt29","w_fsturwt30","w_fsturwt31","w_fsturwt32","w_fsturwt33","w_fsturwt34","w_fsturwt35","w_fsturwt36","w_fsturwt37","w_fsturwt38","w_fsturwt39","w_fsturwt40","w_fsturwt41","w_fsturwt42","w_fsturwt43","w_fsturwt44","w_fsturwt45","w_fsturwt46","w_fsturwt47","w_fsturwt48","w_fsturwt49","w_fsturwt50","w_fsturwt51","w_fsturwt52","w_fsturwt53","w_fsturwt54","w_fsturwt55","w_fsturwt56","w_fsturwt57","w_fsturwt58","w_fsturwt59","w_fsturwt60","w_fsturwt61","w_fsturwt62","w_fsturwt63","w_fsturwt64","w_fsturwt65","w_fsturwt66","w_fsturwt67","w_fsturwt68","w_fsturwt69","w_fsturwt70","w_fsturwt71","w_fsturwt72","w_fsturwt73","w_fsturwt74","w_fsturwt75","w_fsturwt76","w_fsturwt77","w_fsturwt78","w_fsturwt79","w_fsturwt80","w_fstuwt","workpay_recode","immig_recode"
"2","UNITED STATES",179.5558,"MALE","84000001",84006790,"YES",15.83,"NEVER MISSED SCHOOL FOR >3 MONTHS","NO WORK FOR PAY","FIRST-GENERATION STUDENT",62.39,-0.1782,-0.2421,-0.0733,"ISCED LEVEL 3.4",26.64,-0.855,0.4062,0.3346,0.3623,-0.4311,1.1378,-0.3698,0.1892,0.0486,377.615,424.647,395.362,353.533,423.894,378.51,412.033,382.684,420.228,376.51,427.671,433.049,432.079,440.247,428.202,418.394,451.899,444.202,420.315,415.387,428.416,455.671,439.184,491.385,441.067,369.799,427.94,365.541,485.944,407.834,854.1778,1841.481,816.5029,908.6157,1804.327,2004.395,1844.769,1918.338,895.4258,1835.868,895.4258,1765.849,834.7651,893.7071,783.8427,850.583,2062.499,1835.868,817.9229,1920.402,1876.375,871.2308,1975.298,1765.849,893.7071,800.4801,869.6054,836.2558,1801.195,870.5408,1801.195,908.6157,1921.924,1804.327,2062.499,1884.305,783.8427,870.5408,1971.506,832.2205,688.3102,1616.585,643.9814,732.0312,1574.966,1786.941,1619.718,1703.666,724.777,1623.861,724.777,1544.528,662.2436,723.2576,616.0876,673.0879,1854.542,1623.861,645.1942,1691.775,1643.056,699.3385,1769.233,1544.528,723.2576,632.725,697.9171,663.527,1572.005,693.0456,1572.005,732.0312,1707.136,1574.966,1854.542,1680.215,616.0876,693.0456,1765.524,665.2244,1302.116,0,1
"4","UNITED STATES",179.5558,"MALE","84000001",84002730,"YES",15.92,"NEVER MISSED SCHOOL FOR >3 MONTHS","NO WORK FOR PAY","NATIVE STUDENT",39.45,-1.0524,-0.0418,-0.1141,"ISCED LEVEL 6",58.07,1.0696,-0.7291,0.3346,-0.2524,0.1059,0.7121,0.6087,0.6629,-1.6286,548.647,517.96,528.167,563.863,512.199,564.004,531.642,564.37,579.621,542.83,611.999,716.922,613.992,631.304,595.56,723.092,636.002,643.769,662.288,664.602,719.257,707.409,650.289,665.471,629.819,686.115,729.408,711.471,669.654,755.439,854.1778,1841.481,816.5029,908.6157,1804.327,2004.395,1844.769,1918.338,895.4258,1835.868,895.4258,1765.849,834.7651,893.7071,783.8427,850.583,2062.499,1835.868,817.9229,1920.402,1876.375,871.2308,1975.298,1765.849,893.7071,800.4801,869.6054,836.2558,1801.195,870.5408,1801.195,908.6157,1921.924,1804.327,2062.499,1884.305,783.8427,870.5408,1971.506,832.2205,688.3102,1616.585,643.9814,732.0312,1574.966,1786.941,1619.718,1703.666,724.777,1623.861,724.777,1544.528,662.2436,723.2576,616.0876,673.0879,1854.542,1623.861,645.1942,1691.775,1643.056,699.3385,1769.233,1544.528,723.2576,632.725,697.9171,663.527,1572.005,693.0456,1572.005,732.0312,1707.136,1574.966,1854.542,1680.215,616.0876,693.0456,1765.524,665.2244,1302.116,0,0
"5","UNITED STATES",179.5558,"FEMALE","84000001",84002463,"YES",16,"NEVER MISSED SCHOOL FOR >3 MONTHS","2 TIMES OF WORKING FOR PAY PER WEEK","NATIVE STUDENT",82.41,0.158,-0.1325,0.4348,"ISCED LEVEL 3.4",65.64,2.2074,-0.7291,0.3346,0.3623,2.7353,0.2976,2.2012,0.947,0.5891,538.192,510.809,556.91,566.074,535.9,595.551,515.826,546.295,565.246,564.636,613.18,644.617,587.277,704.386,584.568,670.027,624.984,621.037,594.087,562.885,698.045,655.452,646.919,657.912,622.29,671.945,626.005,654.071,658.049,606.967,841.2137,1631.234,707.6718,831.0058,1587.924,1775.547,1634.147,1699.316,881.8357,1626.261,881.8357,1564.237,763.4632,880.1431,679.3649,737.2094,1842.374,1626.261,708.9025,1701.144,1651.331,796.8142,1764.48,1564.237,880.1431,732.1067,795.3276,764.8265,1585.167,796.183,1585.167,831.0058,1702.492,1587.924,1842.374,1683.199,679.3649,796.183,1761.093,761.1359,892.3655,1677.403,735.2393,881.0016,1632.071,1854.169,1680.654,1767.761,939.6432,1684.954,939.6432,1602.635,797.0121,937.6733,703.3928,768.4704,1927.616,1684.954,736.6239,1755.422,1702.631,841.6559,1838.946,1602.635,937.6733,761.4863,839.9452,798.5567,1629.004,834.0824,1629.004,881.0016,1771.362,1632.071,1927.616,1746.42,703.3928,834.0824,1835.09,800.5995,1313.755,1,0
"6","UNITED STATES",179.5558,"FEMALE","84000001",84002558,"YES",16.08,"NEVER MISSED SCHOOL FOR >3 MONTHS","NO WORK FOR PAY","NATIVE STUDENT",73.91,2.79,-0.8971,-1.7495,"ISCED LEVEL 5",76.65,0.2424,0.4062,0.3346,1.6712,-0.2875,-0.0273,0.5524,0.0058,0.0636,503.42,463.586,507.312,459.77,433.444,430.882,432.631,405.726,485.449,513.109,581.398,553.109,585.747,570.113,614.516,572.279,516.694,550.658,580.992,583.522,552.856,567.362,604.705,539.825,537.555,479.868,515.247,455.759,558.358,527.418,551.904,1371.859,527.5614,587.0777,1344.18,1493.226,1374.309,1429.116,578.5553,1367.677,578.5553,1315.515,539.3611,577.4449,506.4589,549.5813,1536.512,1367.677,528.4789,1430.653,1397.854,562.9224,1471.549,1315.515,577.4449,517.2087,561.8722,540.3242,1341.847,562.4765,1341.847,587.0777,1431.787,1344.18,1536.512,1403.762,506.4589,562.4765,1468.725,537.7169,604.8084,1480.066,565.8573,643.2253,1441.962,1636.037,1482.935,1559.794,636.8512,1486.728,636.8512,1414.094,581.904,635.5161,541.3474,591.4327,1697.929,1486.728,566.9229,1548.907,1504.303,614.4988,1619.824,1414.094,635.5161,555.9664,613.2498,583.0317,1439.252,608.9693,1439.252,643.2253,1562.971,1441.962,1697.929,1538.324,541.3474,608.9693,1616.428,584.5232,1060.04,0,0
"7","UNITED STATES",179.5558,"MALE","84000001",84000231,"YES",16.17,"NEVER MISSED SCHOOL FOR >3 MONTHS","NO WORK FOR PAY","NATIVE STUDENT",73.71,-0.5326,-0.4937,0.4565,"ISCED LEVEL 6",82.41,0.887,0.4062,0.3346,-1.0009,2.7353,-0.8048,0.3039,1.1269,0.9314,440.393,485.292,470.875,454.229,489.656,440.783,487.204,444.769,515.13,472.961,460.329,498.748,478.716,488.207,533.917,471.838,476.204,489.889,508.7,468.742,539.612,576.799,590.085,545.14,668.798,533.839,581.264,569.1,603.424,576.905,854.1778,1841.481,816.5029,908.6157,1804.327,2004.395,1844.769,1918.338,895.4258,1835.868,895.4258,1765.849,834.7651,893.7071,783.8427,850.583,2062.499,1835.868,817.9229,1920.402,1876.375,871.2308,1975.298,1765.849,893.7071,800.4801,869.6054,836.2558,1801.195,870.5408,1801.195,908.6157,1921.924,1804.327,2062.499,1884.305,783.8427,870.5408,1971.506,832.2205,688.3102,1616.585,643.9814,732.0312,1574.966,1786.941,1619.718,1703.666,724.777,1623.861,724.777,1544.528,662.2436,723.2576,616.0876,673.0879,1854.542,1623.861,645.1942,1691.775,1643.056,699.3385,1769.233,1544.528,723.2576,632.725,697.9171,663.527,1572.005,693.0456,1572.005,732.0312,1707.136,1574.966,1854.542,1680.215,616.0876,693.0456,1765.524,665.2244,1302.116,0,0
"8","UNITED STATES",179.5558,"FEMALE","84000001",84002397,"YES",15.58,"NEVER MISSED SCHOOL FOR >3 MONTHS","NO WORK FOR PAY","NATIVE STUDENT",23.57,-0.4635,-0.1507,0.5974,"ISCED LEVEL 3.4",26.62,-0.2136,0.4062,0.3346,-0.5937,-0.0923,0.0369,-0.4134,-0.1517,-0.4096,498.847,531.861,469.381,533.649,552.883,503.968,541.507,573.033,450.02,535.522,583.065,578.588,533.738,651.079,663.031,619.253,581.986,579.414,541.131,605.602,551.345,556.76,555.69,599.838,585.65,570.669,563.882,582.997,493.927,542.756,551.904,1371.859,527.5614,587.0777,1344.18,1493.226,1374.309,1429.116,578.5553,1367.677,578.5553,1315.515,539.3611,577.4449,506.4589,549.5813,1536.512,1367.677,528.4789,1430.653,1397.854,562.9224,1471.549,1315.515,577.4449,517.2087,561.8722,540.3242,1341.847,562.4765,1341.847,587.0777,1431.787,1344.18,1536.512,1403.762,506.4589,562.4765,1468.725,537.7169,604.8084,1480.066,565.8573,643.2253,1441.962,1636.037,1482.935,1559.794,636.8512,1486.728,636.8512,1414.094,581.904,635.5161,541.3474,591.4327,1697.929,1486.728,566.9229,1548.907,1504.303,614.4988,1619.824,1414.094,635.5161,555.9664,613.2498,583.0317,1439.252,608.9693,1439.252,643.2253,1562.971,1441.962,1697.929,1538.324,541.3474,608.9693,1616.428,584.5232,1060.04,0,0
"9","UNITED STATES",179.5558,"FEMALE","84000001",84002502,"YES",16.17,"MISSED SCHOOL FOR >3 MONTHS AT LEAST ONCE","6 TIMES OF WORKING FOR PAY PER WEEK","NATIVE STUDENT",86.72,-1.2032,-0.3558,9e-04,"ISCED LEVEL 6",57.03,-0.1945,0.2098,0.3346,-0.8681,0.7179,1.0843,-0.5519,0.2943,-1.0426,342.235,284.194,303.942,320.65,359.798,324.955,310.915,332.859,355.343,296.031,326.281,334.042,298.926,328.343,322.064,306.371,321.096,335.601,366.022,320.031,322.122,312.472,350.803,358.601,394.664,352.962,327.583,388.812,413.013,372.373,551.904,1371.859,527.5614,587.0777,1344.18,1493.226,1374.309,1429.116,578.5553,1367.677,578.5553,1315.515,539.3611,577.4449,506.4589,549.5813,1536.512,1367.677,528.4789,1430.653,1397.854,562.9224,1471.549,1315.515,577.4449,517.2087,561.8722,540.3242,1341.847,562.4765,1341.847,587.0777,1431.787,1344.18,1536.512,1403.762,506.4589,562.4765,1468.725,537.7169,604.8084,1480.066,565.8573,643.2253,1441.962,1636.037,1482.935,1559.794,636.8512,1486.728,636.8512,1414.094,581.904,635.5161,541.3474,591.4327,1697.929,1486.728,566.9229,1548.907,1504.303,614.4988,1619.824,1414.094,635.5161,555.9664,613.2498,583.0317,1439.252,608.9693,1439.252,643.2253,1562.971,1441.962,1697.929,1538.324,541.3474,608.9693,1616.428,584.5232,1060.04,1,0
"10","UNITED STATES",179.5558,"FEMALE","84000001",84007945,"YES",15.75,"NEVER MISSED SCHOOL FOR >3 MONTHS","NO WORK FOR PAY","NATIVE STUDENT",84.14,0.3416,0.4858,-1.1265,"ISCED LEVEL 7",51.5,-0.0127,0.4062,0.3346,0.1837,0.3767,0.4567,1.1097,2.9787,-0.1873,503.793,451.365,448.252,459.527,457.16,455.924,446.994,481.2,421.721,471.08,542.171,547.327,558.019,560.157,554.102,573.094,547.845,546.89,537.103,543.296,537.386,559.159,556.362,558.073,567.798,541.795,536.156,512.074,500.182,542.278,551.904,1371.859,527.5614,587.0777,1344.18,1493.226,1374.309,1429.116,578.5553,1367.677,578.5553,1315.515,539.3611,577.4449,506.4589,549.5813,1536.512,1367.677,528.4789,1430.653,1397.854,562.9224,1471.549,1315.515,577.4449,517.2087,561.8722,540.3242,1341.847,562.4765,1341.847,587.0777,1431.787,1344.18,1536.512,1403.762,506.4589,562.4765,1468.725,537.7169,604.8084,1480.066,565.8573,643.2253,1441.962,1636.037,1482.935,1559.794,636.8512,1486.728,636.8512,1414.094,581.904,635.5161,541.3474,591.4327,1697.929,1486.728,566.9229,1548.907,1504.303,614.4988,1619.824,1414.094,635.5161,555.9664,613.2498,583.0317,1439.252,608.9693,1439.252,643.2253,1562.971,1441.962,1697.929,1538.324,541.3474,608.9693,1616.428,584.5232,1060.04,0,0
"11","UNITED STATES",179.5558,"MALE","84000001",84004827,"YES",15.42,"MISSED SCHOOL FOR >3 MONTHS AT LEAST ONCE","NO WORK FOR PAY","NATIVE STUDENT",58.07,-0.673,-2.6723,-0.664,"ISCED LEVEL 3.4",56,-0.8071,0.4062,0.3346,-2.8028,-0.5627,-1.1478,0.7692,-2.4962,0.0802,446.127,426.871,471.713,427.377,405.051,447.5,451.735,468.431,447.903,479.155,465.79,425.266,404.213,459.193,344.256,585.488,461.843,463.54,499.648,463.671,429.344,478.636,491.731,460.495,414.729,535.825,461.372,419.034,476.199,408.386,854.1778,1841.481,816.5029,908.6157,1804.327,2004.395,1844.769,1918.338,895.4258,1835.868,895.4258,1765.849,834.7651,893.7071,783.8427,850.583,2062.499,1835.868,817.9229,1920.402,1876.375,871.2308,1975.298,1765.849,893.7071,800.4801,869.6054,836.2558,1801.195,870.5408,1801.195,908.6157,1921.924,1804.327,2062.499,1884.305,783.8427,870.5408,1971.506,832.2205,688.3102,1616.585,643.9814,732.0312,1574.966,1786.941,1619.718,1703.666,724.777,1623.861,724.777,1544.528,662.2436,723.2576,616.0876,673.0879,1854.542,1623.861,645.1942,1691.775,1643.056,699.3385,1769.233,1544.528,723.2576,632.725,697.9171,663.527,1572.005,693.0456,1572.005,732.0312,1707.136,1574.966,1854.542,1680.215,616.0876,693.0456,1765.524,665.2244,1302.116,0,0
"13","UNITED STATES",179.5558,"FEMALE","84000001",84001567,"YES",15.75,"NEVER MISSED SCHOOL FOR >3 MONTHS","NO WORK FOR PAY","NATIVE STUDENT",57.64,-0.0242,0.0082,0.2598,"ISCED LEVEL 8",68.7,0.3806,0.4062,0.3346,-0.0508,1.4651,-0.3288,0.1001,0.6109,0.0753,538.673,491.013,489.169,457.734,522.397,523.712,489.247,543.441,480.581,563.176,637.48,524.964,547.213,638.469,555.036,605.372,596.027,693.446,602.211,633.612,559.469,534.236,519.508,566.851,538.639,562.114,573.566,601.906,551.405,571.105,551.904,1371.859,527.5614,587.0777,1344.18,1493.226,1374.309,1429.116,578.5553,1367.677,578.5553,1315.515,539.3611,577.4449,506.4589,549.5813,1536.512,1367.677,528.4789,1430.653,1397.854,562.9224,1471.549,1315.515,577.4449,517.2087,561.8722,540.3242,1341.847,562.4765,1341.847,587.0777,1431.787,1344.18,1536.512,1403.762,506.4589,562.4765,1468.725,537.7169,604.8084,1480.066,565.8573,643.2253,1441.962,1636.037,1482.935,1559.794,636.8512,1486.728,636.8512,1414.094,581.904,635.5161,541.3474,591.4327,1697.929,1486.728,566.9229,1548.907,1504.303,614.4988,1619.824,1414.094,635.5161,555.9664,613.2498,583.0317,1439.252,608.9693,1439.252,643.2253,1562.971,1441.962,1697.929,1538.324,541.3474,608.9693,1616.428,584.5232,1060.04,0,0
